frame_idx,timestamp_ms,depth_raw_mm,depth_ema_mm,depth_kf_mm,depth_corr_mm,sig_mm,conf,conf_ema,vision_state,has_hand,has_main_hand,velocity_mm_s,motion_mm,gain,offset_mm,cos_tilt
12,1767532691791,0.4531101363932478,0.28136734346702397,0.25657310953964796,0.25657310953964796,0.25657310953964796,0.9375281929969788,0.9383927760697938,ok,True,True,0.06917265944528161,0.17174279292622385,1.0,0.0,0.9804841750435145
13,1767532691824,-0.425870289480745,-0.1429752363016374,-0.09731539138151957,-0.09731539138151957,-0.09731539138151957,0.9350540041923523,0.9363895129433288,ok,True,True,-0.2375537432063225,0.2828950531791076,1.0,0.0,0.9804841750435145
14,1767532691858,-0.03125815480758975,-0.0759449874052088,-0.07926845820762785,-0.07926845820762785,-0.07926845820762785,0.9380701780319214,0.9373979119964844,ok,True,True,-0.21419834572292518,0.044686832597619054,1.0,0.0,0.9804841750435145
15,1767532691891,-0.38055253996286226,-0.2587095189398009,-0.23918254377295006,-0.23918254377295006,-0.23918254377295006,0.9312140345573425,0.9336875855329994,ok,True,True,-0.3571202113355147,0.12184302102306138,1.0,0.0,0.9804841750435145
16,1767532691924,0.6614453427691174,0.2933833980855501,0.23175062114319117,0.23175062114319117,0.23175062114319117,0.9391738772392273,0.936979360556736,ok,True,True,0.11087878644294785,0.3680619446835673,1.0,0.0,0.9804841750435145
17,1767532691958,0.6591349134341536,0.5128343072947122,0.48146907689881313,0.48146907689881313,0.48146907689881313,0.928090512752533,0.9316460518742142,ok,True,True,0.357104918092642,0.1463006061394414,1.0,0.0,0.9804841750435145
18,1767532691991,-0.17790719687458992,0.09838940479313095,0.14300581649261007,0.14300581649261007,0.14300581649261007,0.9446117877960205,0.939425493427298,ok,True,True,-0.0038670506082755796,0.27629660166772085,1.0,0.0,0.9804841750435145
19,1767532692024,0.2267800189532703,0.17542377328921455,0.17175086482186486,0.17175086482186486,0.17175086482186486,0.9355584383010864,0.937105260351571,ok,True,True,0.02667236536738724,0.05135624566405575,1.0,0.0,0.9804841750435145
20,1767532692060,-0.5598694435719861,-0.2657521568275058,-0.21632363778413363,-0.21632363778413363,-0.21632363778413363,0.924258828163147,0.9293974010385166,ok,True,True,-0.39463590336677046,0.2941172867444803,1.0,0.0,0.9804841750435145
21,1767532692091,0.2970756935700394,0.07194455341102131,0.03798732683649894,0.03798732683649894,0.03798732683649894,0.9341479539871216,0.9322477328076796,ok,True,True,-0.09860723415742573,0.22513114015901808,1.0,0.0,0.9804841750435145
22,1767532692125,2.138303958763185,1.3117601966223194,1.1680012471385537,1.1680012471385537,1.1680012471385537,0.9439961314201355,0.939296771975153,ok,True,True,1.180534259720261,0.8265437621408656,1.0,0.0,0.9804841750435145
23,1767532692158,4.301860105530384,3.105820141967158,2.892260594616416,2.892260594616416,2.892260594616416,0.9561484456062317,0.9494077761538002,ok,True,True,3.1163904705675383,1.196039963563226,1.0,0.0,0.9804841750435145
24,1767532692191,6.640859451001819,5.226843727387955,4.97607524643883,4.97607524643883,4.97607524643883,0.9529643654823303,0.9515417297509183,ok,True,True,5.428253814515041,1.414015723613864,1.0,0.0,0.9804841750435145
25,1767532692224,9.434059317576518,7.751173081501093,7.459722866390196,7.459722866390196,7.459722866390196,0.9454131722450256,0.9478645952473828,ok,True,True,8.156741817842532,1.6828862360754249,1.0,0.0,0.9804841750435145
26,1767532692258,13.22292203877753,11.034222455866955,10.663385537323133,10.663385537323133,10.663385537323133,0.9290623664855957,0.9365832579903106,ok,True,True,11.677241112163875,2.1886995829105746,1.0,0.0,0.9804841750435145
